id,name,brand,category,size,priceSAR,origin,currentEmoji,imageUrl
blueberry,Blueberry,Driscoll's,fruits-veg,125 G,10.8,USA,🫐,
apple-pinklady,Apple Pink Lady,Tamimi Fresh,fruits-veg,500 G,4.5,Italy,🍎,
banana,Banana,Tamimi Fresh,fruits-veg,1 KG,4.95,Philippines,🍌,
potato,Potato,Tamimi Fresh,fruits-veg,500 G,3.4,KSA,🥔,
onion-red,Onions Red,Tamimi Fresh,fruits-veg,250 G,1.8,KSA,🧅,
tomato,Tomato,Tamimi Fresh,fruits-veg,1 KG,5.5,KSA,🍅,
baby-spinach,Organic Baby Spinach,Nature Fresh,fruits-veg,200 G,8.95,KSA,🥬,
avocado,Avocado Hass,Tamimi Fresh,fruits-veg,2 pcs,12.95,Kenya,🥑,
carrot,Carrots,Tamimi Fresh,fruits-veg,1 KG,4.75,KSA,🥕,
strawberry,Strawberry,Driscoll's,fruits-veg,250 G,9.95,Egypt,🍓,
labneh-almarai,Premium Labneh Full Fat,Almarai,dairy,400 G,9.5,KSA,🥛,
cooking-cream,Cooking Cream Full Fat,Almarai,dairy,500 ML,12.5,KSA,🥛,
labneh-tamimi,Fresh Labneh Full Fat,Tamimi Markets,dairy,400 G,9.95,KSA,🧈,
eggs-white,Large White Eggs,Alyoum,dairy,30 pcs,15.95,KSA,🥚,
milk-full,Fresh Milk Full Fat,Almarai,dairy,2 L,9.75,KSA,🥛,
milk-nadec,Fresh Milk Full Fat,Nadec,dairy,2 L,9.75,KSA,🥛,
milk-low,Low Fat Milk,Almarai,dairy,2 L,9.75,KSA,🥛,
greek-yogurt,Greek Yogurt Plain,Almarai,dairy,500 G,11.5,KSA,🍦,
cheese-slices,Cheese Slices,Puck,dairy,200 G,8.95,KSA,🧀,
butter-lurpak,Butter Unsalted,Lurpak,dairy,200 G,14.95,Denmark,🧈,
arabic-bread,Arabic Bread Large,Tamimi Bakery,bakery,6 pcs,4.0,KSA,🫓,
milk-bread,Milk Bread Loaf,Tamimi Bakery,bakery,600 G,7.95,KSA,🍞,
brown-bread,Brown Bread,Tamimi Bakery,bakery,600 G,6.5,KSA,🍞,
croissant,Butter Croissant,Tamimi Bakery,bakery,4 pcs,12.95,KSA,🥐,
choc-cake,Chocolate Fudge Cake,Tamimi Bakery,bakery,1 pc,24.95,KSA,🍰,
veal-ground,Fresh Veal Ground,Tamimi Butchery,meat,500 G,32.5,KSA,🥩,
lamb-chops,Australian Lamb Chops,Tamimi Butchery,meat,500 G,44.95,Australia,🍖,
ribeye,Beef Ribeye Steak,Tamimi Butchery,meat,300 G,39.95,Australia,🥩,
beef-cubes,Fresh Beef Cubes,Tamimi Butchery,meat,500 G,34.95,KSA,🥩,
chicken-whole,Fresh Whole Chicken,Alyoum,poultry,1 KG,15.95,KSA,🍗,
chicken-breast,Fresh Chicken Breast,Alyoum,poultry,500 G,18.95,KSA,🍗,
chicken-nuggets,Chicken Nuggets,Sadia,poultry,400 G,16.95,Brazil,🍗,
shrimp-jumbo,Fresh Jumbo Shrimp,Tamimi Seafood,seafood,500 G,42.95,KSA,🦐,
salmon-fillet,Norwegian Salmon Fillet,Tamimi Seafood,seafood,400 G,46.95,Norway,🐟,
hammour,Fresh Hammour Fillet,Tamimi Seafood,seafood,500 G,38.95,KSA,🐠,
dates-sukkary,Dates Sukkary Premium,Tamimi Markets,pantry,1 KG,34.95,KSA,🌴,
olive-oil,Extra Virgin Olive Oil,Tamimi Pantry,pantry,1 L,39.95,Spain,🫒,
basmati-rice,Indian Mazza Basmati Rice,Al Safi,pantry,5 KG,54.95,India,🍚,
pasta,Spaghetti No.5,Barilla,pantry,500 G,6.95,Italy,🍝,
tuna,Light Tuna in Oil,California Garden,pantry,3 x 170 G,14.95,UAE,🥫,
cornflakes,Corn Flakes,Kellogg's,pantry,500 G,18.95,KSA,🥣,
peanut-butter,Creamy Peanut Butter,American Garden,pantry,510 G,16.95,USA,🥜,
honey,Natural Honey,Al Shifa,pantry,500 G,29.95,KSA,🍯,
water-berain,Mineral Water,Berain,beverages,40 x 330 ML,15.95,KSA,💧,
pepsi,Pepsi Cola,Pepsi,beverages,6 x 355 ML,14.95,KSA,🥤,
orange-juice,Orange Juice No Added Sugar,Almarai,beverages,1.75 L,12.95,KSA,🧃,
laban,Laban Full Fat,Almarai,beverages,1.75 L,8.95,KSA,🥛,
lays,Classic Salted Chips,Lay's,snacks,165 G,8.95,KSA,🥔,
mms,M&M's Chocolate,M&M's,snacks,400 G,24.95,USA,🍫,
granola-bars,Oats & Honey Granola Bars,Nature Valley,snacks,5 x 42 G,15.95,USA,🍫,
biscuits,Digestive Biscuits,McVitie's,snacks,400 G,9.95,UK,🍪,
detergent,Original Detergent Powder,Tide,household,3 KG,39.95,KSA,🧴,
tissue,Facial Tissue,Fine,household,6 x 130s,21.95,KSA,🧻,
diapers,Baby-Dry Diapers Size 4,Pampers,baby,66 pcs,79.95,KSA,🧷,
baby-wipes,Fresh Clean Baby Wipes,Pampers,baby,3 x 64,24.95,KSA,🧼,
